,geoid,perim (b),w_perim (b),area (b),w_area (b),a/p^2 (b) 0.5,w_a/p^2 (b) 0.5,rank_a/p^2 (b) 0.5,rank_w_a/p^2 (b) 0.5,a/p^2 (b) 0.1,w_a/p^2 (b) 0.1,rank_a/p^2 (b) 0.1,rank_w_a/p^2 (b) 0.1
129,1502,230,3176,19357,679805,0.3659168241965974,0.06739433106611932,4.0,8.0,0.3659168241965974,0.06739433106611932,4.0,8.0
130,1602,854,9077,81762,783450,0.11210778318314694,0.009508819729175172,51.0,41.0,0.11210778318314694,0.009508819729175172,51.0,41.0
131,1601,1024,10932,68080,784132,0.0649261474609375,0.006561300546812421,127.0,56.0,0.0649261474609375,0.006561300546812421,127.0,56.0
132,1706,1204,76710,14855,712813,0.010247541417865144,0.00012113555853324712,415.0,409.0,0.010247541417865144,0.00012113555853324712,415.0,409.0
133,1709,725,59212,12186,712813,0.023183828775267538,0.00020330878766378912,338.0,379.0,0.023183828775267538,0.00020330878766378912,338.0,379.0
134,1710,744,45618,13676,712813,0.02470661348132732,0.00034253356125200777,322.0,332.0,0.02470661348132732,0.00034253356125200777,322.0,332.0
135,1703,1161,65330,14819,712813,0.010993967747367984,0.0001670130069316397,411.0,397.0,0.010993967747367984,0.0001670130069316397,411.0,397.0
136,1713,1313,27451,36177,712813,0.02098471608248176,0.0009459305940782605,356.0,211.0,0.02098471608248176,0.0009459305940782605,356.0,211.0
137,1712,818,11210,40955,712813,0.061206891398305846,0.005672367844117771,136.0,62.0,0.061206891398305846,0.005672367844117771,136.0,62.0
138,1701,1209,57630,15914,712813,0.010887464501488356,0.0002146240433739814,412.0,375.0,0.010887464501488356,0.0002146240433739814,412.0,375.0
139,1708,823,70661,11448,712812,0.01690168293399515,0.00014276292706300695,377.0,402.0,0.01690168293399515,0.00014276292706300695,377.0,402.0
140,1707,1229,75623,13805,712812,0.00913971482500806,0.0001246428004991711,422.0,407.0,0.00913971482500806,0.0001246428004991711,422.0,407.0
141,1718,1404,22806,48553,712813,0.02463098919651626,0.0013704947355004551,323.0,166.0,0.02463098919651626,0.0013704947355004551,323.0,166.0
142,1704,1378,65619,11011,712813,0.005798669113015856,0.00016554512505355731,429.0,399.0,0.005798669113015856,0.00016554512505355731,429.0,399.0
143,1702,729,21866,20155,712813,0.037925188308768044,0.001490860210569372,229.0,156.0,0.037925188308768044,0.001490860210569372,229.0,156.0
144,1716,1299,20907,43447,712813,0.02574788091271725,0.0016307679709349004,315.0,150.0,0.02574788091271725,0.0016307679709349004,315.0,150.0
145,1714,1346,54487,20994,712813,0.011587908921707376,0.00024009870525668463,408.0,366.0,0.011587908921707376,0.00024009870525668463,408.0,366.0
146,1705,1169,77282,12700,712813,0.009293401465430376,0.00011934903340609003,420.0,412.0,0.009293401465430376,0.00011934903340609003,420.0,412.0
147,1715,1369,15665,69222,712813,0.03693492714873482,0.0029047904838875806,234.0,107.0,0.03693492714873482,0.0029047904838875806,234.0,107.0
148,1711,877,52661,12371,712813,0.016084427969820406,0.00025703804414713843,383.0,361.0,0.016084427969820406,0.00025703804414713843,383.0,361.0
149,1717,1155,28413,39164,712813,0.029357770656471955,0.0008829608119867731,287.0,221.0,0.029357770656471955,0.0008829608119867731,287.0,221.0
150,1801,280,9331,20034,720422,0.2555357142857143,0.00827428713662945,12.0,46.0,0.2555357142857143,0.00827428713662945,12.0,46.0
151,1809,657,17908,28621,720422,0.06630618859304667,0.0022464295084962333,125.0,128.0,0.06630618859304667,0.0022464295084962333,125.0,128.0
152,1802,621,17551,35877,720423,0.09303212054734844,0.002338750196928069,69.0,125.0,0.09303212054734844,0.002338750196928069,69.0,125.0
153,1808,647,7619,44738,720422,0.10687300081938038,0.012410549740761972,55.0,37.0,0.10687300081938038,0.012410549740761972,55.0,37.0
154,1803,557,8987,28418,720423,0.09159739435098904,0.008919860987835142,75.0,42.0,0.09159739435098904,0.008919860987835142,75.0,42.0
155,1804,793,15313,35379,720422,0.05625992885414464,0.003072319671974301,147.0,103.0,0.05625992885414464,0.003072319671974301,147.0,103.0
156,1805,634,31610,21012,720423,0.052274378290161114,0.0007210055003437276,165.0,248.0,0.052274378290161114,0.0007210055003437276,165.0,248.0
157,1807,363,39160,13124,720423,0.0995985398690132,0.00046978830726147983,63.0,290.0,0.0995985398690132,0.00046978830726147983,63.0,290.0
158,1806,742,14345,39868,720422,0.0724130164703831,0.003500949623024018,113.0,88.0,0.0724130164703831,0.003500949623024018,113.0,88.0
159,1902,813,4114,50161,761624,0.07589009469430488,0.044999951550948665,104.0,13.0,0.07589009469430488,0.044999951550948665,104.0,13.0
160,1904,975,5497,78336,761571,0.08240473372781065,0.025203387932935386,91.0,20.0,0.08240473372781065,0.025203387932935386,91.0,20.0
161,1903,644,3638,40794,761612,0.0983613672312025,0.05754510525238904,65.0,11.0,0.0983613672312025,0.05754510525238904,65.0,11.0
162,1901,929,5506,46716,761548,0.05412952571198819,0.025120302667538723,154.0,21.0,0.05412952571198819,0.025120302667538723,154.0,21.0
163,2004,764,1916,45733,713281,0.07835071681149092,0.19429858874394726,98.0,2.0,0.07835071681149092,0.19429858874394726,98.0,2.0
164,2003,334,8049,14801,713287,0.1326777582559432,0.011009825966409216,36.0,40.0,0.1326777582559432,0.011009825966409216,36.0,40.0
165,2001,1416,3405,114282,713278,0.05699691180695202,0.06152117146547467,146.0,9.0,0.05699691180695202,0.06152117146547467,146.0,9.0
166,2002,1034,6134,63784,713272,0.059658272506537866,0.018956913679482323,139.0,28.0,0.059658272506537866,0.018956913679482323,139.0,28.0
167,2102,1073,27776,26734,723137,0.023220122137112848,0.0009373055232677749,336.0,212.0,0.023220122137112848,0.0009373055232677749,336.0,212.0
168,2103,208,16925,12279,723171,0.28381564349112426,0.0025245480866364555,7.0,117.0,0.28381564349112426,0.0025245480866364555,7.0,117.0
169,2101,1399,17964,43952,723178,0.022456559137257748,0.002240985843628671,343.0,129.0,0.022456559137257748,0.002240985843628671,343.0,129.0
170,2105,820,20614,36746,723228,0.05464901844140393,0.0017019652485141586,151.0,146.0,0.05464901844140393,0.0017019652485141586,151.0,146.0
171,2104,752,20716,22198,723450,0.03925348008148483,0.0016857637716682335,220.0,148.0,0.03925348008148483,0.0016857637716682335,220.0,148.0
172,2106,607,15820,19763,723203,0.053638359718712766,0.0028896634227345884,159.0,108.0,0.053638359718712766,0.0028896634227345884,159.0,108.0
173,2204,1144,17487,46764,755605,0.035732187393026554,0.0024709513968809624,239.0,120.0,0.035732187393026554,0.0024709513968809624,239.0,120.0
174,2206,1264,41024,19472,755607,0.01218755007210383,0.0004489727323346054,404.0,296.0,0.01218755007210383,0.0004489727323346054,404.0,296.0
